#,Episode Title,Date Aired,Cordie,Theo,Difference in scores,RT Score,Goes First,Winner,Notes
1,Scream,8/18/2017,84,86,2,79,Cordie,Cordie,
2,Scream 2,9/1/2017,85,70,15,81,Cordie,Cordie,
3,Scream 3,9/15/2017,74,40,34,36,Cordie,Theo,
4,Scream 4,9/29/2017,62,68,6,59,Cordie,Cordie,
5,Scream Wrap-UP,10/20/2017,,,,,,,
6,Halloween,10/27/2017,81,85,4,93,Cordie,Theo,
7,Halloween 2,11/10/2017,37,34,3,31,Cordie,Theo,
8,Halloween 3,11/24/2017,33,43,10,37,Cordie,Cordie,
9,Halloween 4,12/8/2017,62,42,20,29,Cordie,Theo,
10,Rudolph the Red Nose Raindeer,12/22/2017,89,93,4,92,Cordie,Theo,
11,Halloween 5,1/5/2018,34,22,12,14,Cordie,Theo,
12,Halloween 6,1/19/2018,7,10,3,6,Cordie,Cordie,
13,Halloween H20,2/2/2018,67,61,6,52,Cordie,Theo,
14,Halloween Resurrection,2/16/2018,19,13,6,12,Cordie,Theo,
15,Halloween Retrospective,3/2/2018,,,,,,,
Bonus,Hercules,3/16/2018,92,95,3,83,Cordie,Cordie,
16,The Ring,3/23/2018,75,74,1,71,Cordie,Theo,
17,Ring 2,4/6/2018,67,54,13,19,Cordie,Theo,
18,Rings,4/20/2018,22,20,2,7,Cordie,Theo,
19,The Ring Retrospective,5/18/2018,,,,,,,
20,Sleepaway Camp,6/1/2018,39,63,24,80,Cordie,Theo,
21,Sleepaway Camp 2,6/15/2018,37,41,4,38,Cordie,Cordie,
22,Sleepaway Camp 3,6/29/2018,37,45,8,14,Cordie,Cordie,
23,Sleepaway Camp IV,7/15/2018,0,4,4,-,Cordie,Cordie,"No RT score, Coin flip went to Cordie"
24,Return to Sleepaway Camp,7/27/2018,39,32,7,30,Cordie,Theo,Based off just one review
25,Sleepaway Camp Retrospective,8/17/2018,,,,,,,
26,I Know What You Did Last Summer,8/31/2018,86,79,7,35,Cordie,Theo,
27,I Still Know What You Did Last Summer ,9/14/2018,12,24,12,7,Theo,Cordie,Theo went first
28,I'll Always Know What You Did Last Summer ,9/28/2018,16,13,3,20,Cordie,Cordie,"No RT score, went with audience score"
29,I Know What You Did Last Summer Retrospective,10/12/2018,,,,,,,
30,A Nightmare of Elm Street,10/26/2018,93,95,2,94,Cordie,Tie,Tie: 30 seconds each
31, A Nightmare of Elm Street Part 2: Freddy's Revenge,11/10/2018,17,29,12,40,Cordie,Theo,
32,A Nightmare of Elm Street Part 3: Dream Warriors,11/27/2018,36,43,7,74,Cordie,Theo,
33,A Nightmare of Elm Street: Dream Master,12/7/2018,41,28,13,57,Cordie,Cordie,
34,The Year Without Santa Claus,12/21/2018,91,92,1,90,Cordie,Theo,
35,A Nightmare of Elm Street 5: The Dream Child,1/11/2019,31,34,3,33,Cordie,Theo,
36,Freddy's Dead - The Final Nightmare,1/26/2019,41,28,13,21,Cordie,Theo,
37,Wes Craven's New Nightmare,2/8/2019,80,81,1,78,Cordie,Cordie,
38,A Nightmare on Elm Street Retrospective,2/22/2019,,,,,,,
39,Final Destination,3/8/2019,77,73,4,34,Cordie,Theo,
40,Final Destination 2,3/23/2019,24,41,17,48,Cordie,Theo,
41,Final Destination 3,4/6/2019,41,50,9,43,Theo,Cordie,Cordie changes after Theo gives hers
42,The Final Destination,4/19/2019,19,24,5,28,Cordie,Theo,
43,Final Destination 5,5/3/2019,56,59,3,62,Cordie,Theo,
44,Final Destination Retrospective,5/24/2019,,,,,,,
45,Friday the 13th,6/7/2019,71,64,7,63,Cordie,Theo,
46,Friday the 13th Part II,6/22/2019,28,32,4,29,Cordie,Cordie,
47,Friday the 13th Part III,7/5/2019,24,32,8,12,Cordie,Cordie,
48,Friday the 13th Part IV - The Final Chapter,7/19/2019,36,25,11,20,Cordie,Theo,
49,Friday the 13th Part V - A New Beginning,8/2/2019,17,15,2,16,Cordie,Tie,Tie: 30 sec each
50,Our 50th Episode Spectacular!,8/16/2019,,,,,,,
51,Friday the 13th Part VI - Jason Lives,8/30/2019,36,-,#VALUE!,52,Cordie,Theo,Theo's answer is unintelligible
52,Friday the 13th Part VII - The New Blood,9/13/2019,31,40,9,32,Cordie,Cordie,
53,Friday the 13th Part  VIII - Jason Takes Manhattan,9/28/2019,24,12,12,8,Cordie,Theo,
54,The Halloween Special,10/11/2019,,,,,,,
55,Jason Goes to Hell: the Final Friday,10/25/2019,9,15,6,24,Cordie,Theo,
56,Jason X,11/8/2019,22,21,1,19,Cordie,Theo,
57,Frosty the Snowman,12/24/2019,55,60,5,73,Cordie,Theo,
58,Freddy V. Jason,1/3/2020,31,38,7,42,Cordie,Theo,
59,Friday the 13th Retrospective,1/17/2020,,,,,,,
60,Candyman,1/31/2020,70,72,2,75,Cordie,Theo,
61,Candyman 2,2/14/2020,23,32,9,28,Theo,Theo,
62,Candyman 3,2/28/2020,11,26,15,13,Cordie,Cordie,
63,Candyman Retrospective,3/14/2020,,,,,,,
64,The Purge,3/27/2020,77,78,1,40,Cordie,Cordie,
65,The Purge Anarchy,4/10/0202,36,45,9,56,Cordie,Theo,
66,The Purge Election Year,4/24/2020,67,50,17,56,Cordie,Theo,
67,The First Purge,5/15/2020,47,43,4,55,Cordie,Cordie,
68,The Purge Retropective,5/29/2020,,,,,,,
69,Jaws,6/19/2020,92,91,1,98,Cordie,Cordie,Cordie Changes her guess
70,Jaws 2,7/3/2020,31,43,12,60,Cordie,Theo,
71,Jaws 3(D),7/17/2020,31,17,14,13,Cordie,Theo,
,Number of Wins,,21,37,41,Number of times guess is within 10,,,
,Win Percentage,,35%,63%,69%,Percentage of guesses within 10,,,
,Tie: Numbers and Percentage,,2,3%,,,,,